seed	modeltype	epochs	datasetindex	nsites	true_pos	true_neg	false_pos	false_neg	distance
13	mice	0	27	2	0	500	0	500	2
13	mice	0	27	2	14	486	14	486	3
13	mice	0	27	2	26	467	33	474	5
13	mice	0	27	2	39	456	44	461	6
13	mice	0	27	2	66	425	75	434	8
13	mice	0	27	2	126	355	145	374	10
12	mice	0	28	2	0	500	0	500	0
12	mice	0	28	2	0	500	0	500	2
12	mice	0	28	2	255	251	249	245	3
12	mice	0	28	2	274	231	269	226	5
12	mice	0	28	2	288	213	287	212	6
12	mice	0	28	2	309	186	314	191	8
12	mice	0	28	2	416	79	421	84	10
8	mice	0	29	2	121	379	121	379	0
8	mice	0	29	2	136	371	129	364	2
8	mice	0	29	2	136	368	132	364	3
8	mice	0	29	2	258	255	245	242	5
8	mice	0	29	2	276	233	267	224	6
8	mice	0	29	2	305	198	302	195	8
8	mice	0	29	2	356	158	342	144	10
6	mice	0	30	2	0	500	0	500	0
6	mice	0	30	2	29	473	27	471	2
6	mice	0	30	2	29	473	27	471	3
6	mice	0	30	2	81	423	77	419	5
6	mice	0	30	2	83	416	84	417	6
6	mice	0	30	2	164	330	170	336	8
6	mice	0	30	2	186	319	181	314	10
12	mice	0	1	5	0	500	0	500	0
12	mice	0	1	5	113	381	119	387	2
12	mice	0	1	5	231	274	226	269	3
12	mice	0	1	5	321	197	303	179	5
12	mice	0	1	5	333	182	318	167	6
12	mice	0	1	5	352	149	351	148	8
12	mice	0	1	5	434	56	444	66	10
4	mice	0	2	5	112	366	134	388	0
4	mice	0	2	5	350	147	353	150	2
4	mice	0	2	5	351	143	357	149	3
4	mice	0	2	5	353	142	358	147	5
4	mice	0	2	5	355	141	359	145	6
4	mice	0	2	5	408	102	398	92	8
4	mice	0	2	5	442	67	433	58	10
8	mice	0	3	5	0	500	0	500	0
8	mice	0	3	5	64	443	57	436	2
8	mice	0	3	5	110	404	96	390	3
8	mice	0	3	5	204	298	202	296	5
8	mice	0	3	5	312	187	313	188	6
8	mice	0	3	5	407	90	410	93	8
8	mice	0	3	5	474	18	482	26	10
1	mice	0	4	5	252	264	236	248	0
1	mice	0	4	5	421	78	422	79	2
1	mice	0	4	5	470	36	464	30	3
1	mice	0	4	5	499	2	498	1	5
