seed	datasetindex	modeltype	nsites	oddsdeltatrain	oddsdelta
7	8	mice	5	11.866615084697967	14.435112756758604
8	8	mice	5	8.479375517163499	11.623181559813219
9	8	mice	5	9.43825586182333	11.377776840811718
10	8	mice	5	10.040141739952762	12.338493263972651
11	8	mice	5	12.788964656365831	14.569880686654724
12	8	mice	5	12.96727308871216	14.500995268871236
13	8	mice	5	8.348796496253483	9.904847907816478
14	8	mice	5	8.048102941229729	10.396713137742294
15	8	mice	5	9.15956374044644	10.595489056323597
1	9	mice	5	9.521372412829221	21.441604995965015
2	9	mice	5	10.054785542109197	22.65290365577517
3	9	mice	5	8.927355368135256	21.79750063006466
4	9	mice	5	10.31759595360501	21.984516443293188
5	9	mice	5	8.427600095090073	21.5292046994407
6	9	mice	5	10.505235285899985	22.150940772473767
7	9	mice	5	8.631641655972102	24.56406733421469
8	9	mice	5	10.039424617145986	21.26698459235599
9	9	mice	5	10.571753297961516	27.401476228460826
10	9	mice	5	6.490591225990309	18.834939049972746
11	9	mice	5	15.008672351539872	23.084333402987546
12	9	mice	5	7.834579009771944	21.916376023347084
13	9	mice	5	14.792730232323914	24.851697018039772
14	9	mice	5	11.084609785652528	22.074598818717835
15	9	mice	5	15.781842136763386	30.2086122349797
1	10	mice	5	14.758055015980437	17.946999583694815
2	10	mice	5	15.578207687619818	19.47194387696564
3	10	mice	5	11.034555023715471	16.577902322128864
4	10	mice	5	11.894256655355761	20.363265195127312
5	10	mice	5	11.667121070761537	20.44588017613083
6	10	mice	5	14.799060084281969	24.14711946461942
7	10	mice	5	13.025769904630575	21.50106128182892
8	10	mice	5	8.901296978512727	12.855727896957648
9	10	mice	5	13.62090001520804	19.588786088894164
10	10	mice	5	9.582802881582058	14.191283179688552
11	10	mice	5	9.660830649077942	17.56616573854872
12	10	mice	5	8.902803988654036	16.023666075447068
13	10	mice	5	10.654738516766672	15.563264396726236
14	10	mice	5	11.711434145399608	17.705503752348868
15	10	mice	5	10.569736345725133	14.570559673006326
1	1	mice	20	4.981861649738242	9.684296250547552
2	1	mice	20	3.1291278941733314	10.446149072995405
3	1	mice	20	4.231115540308448	10.228540118204867
4	1	mice	20	3.4469191852218763	11.892608368733239
5	1	mice	20	3.4567392155208263	10.916845253439229
6	1	mice	20	3.646548119599092	9.922958881658403
7	1	mice	20	3.276315737730018	10.542992012486403
8	1	mice	20	4.031927842674772	10.638328329591538
9	1	mice	20	2.7841597531579065	10.00789906816648
10	1	mice	20	3.938814029254313	12.66233884744923
11	1	mice	20	2.529569542390088	10.854463334589136
12	1	mice	20	2.584906684787358	8.469892070977398
13	1	mice	20	4.03634614968696	10.937516443432589
14	1	mice	20	3.4559866710112663	10.235411172953562
15	1	mice	20	3.7922148680258347	8.653117658316646
1	2	mice	20	2.6899733590495556	7.189150399036723
2	2	mice	20	2.6384902041252176	6.63855368625118
3	2	mice	20	1.8818043305990162	5.914430130474008
4	2	mice	20	2.0231278814049576	6.207779588646075
5	2	mice	20	1.6749957142484062	5.456169590801776
6	2	mice	20	2.0277645578294763	6.556208370804012
7	2	mice	20	1.9909952602367667	6.4410089953888
8	2	mice	20	1.9945203684508248	6.27027271757778
9	2	mice	20	1.3282092169608932	6.307450656995584
10	2	mice	20	1.8110065318721904	6.452735623406054
11	2	mice	20	1.600783202199482	6.755801037963372
12	2	mice	20	1.9741389115917023	6.84856876091023
13	2	mice	20	1.5419275963897106	5.554286006980137
14	2	mice	20	2.318092335756181	7.033077606967872
15	2	mice	20	1.8359228075022431	5.866509079137844
1	3	mice	20	2.574181384386378	9.763661848051102
2	3	mice	20	2.333188060867237	7.128921564604604
3	3	mice	20	4.5188320669631	11.447257810148175
4	3	mice	20	2.5362070836678083	9.053976480037653
5	3	mice	20	2.9303835050496416	9.942612275721974
6	3	mice	20	2.9916171876089805	9.335796692389394
7	3	mice	20	3.1546650211016556	9.494476591731319
8	3	mice	20	3.4705885917692316	10.228039826461787
9	3	mice	20	2.4743425863230852	9.331174196368517
10	3	mice	20	3.592234825553374	10.36938244726048
11	3	mice	20	3.1568855813780767	11.001368367774347
12	3	mice	20	3.6521664096969273	9.68190046424225
13	3	mice	20	4.0396966377623915	10.921661763363897
14	3	mice	20	3.116031213457479	9.669603271725935
15	3	mice	20	2.3475734494073595	9.636611216125038
1	4	mice	20	0.6447678335442542	13.944065355166211
2	4	mice	20	0.519975179000352	13.604354065143168
3	4	mice	20	1.2863031831884064	13.432017249472864
4	4	mice	20	0.8229878940711346	17.95527312757053
5	4	mice	20	1.0929414322034385	13.022341077904994
6	4	mice	20	1.4953133610964597	11.845394095901334
7	4	mice	20	1.258442026222946	14.208947516906541
8	4	mice	20	1.7915820307436443	16.692550616935183
9	4	mice	20	1.071941135694161	13.099373746773212
10	4	mice	20	1.6654535640378962	18.43837491571162
11	4	mice	20	1.4492952433314028	15.072461528650953
12	4	mice	20	1.5991430280735588	14.137205631421061
13	4	mice	20	1.8785286064551627	13.367689959183743
14	4	mice	20	0.912244101781788	15.596194605538383
15	4	mice	20	1.4539124091654045	13.366142940183371
1	5	mice	20	4.614647893457381	5.943093524061265
2	5	mice	20	3.1221635555476714	5.991068310122539
3	5	mice	20	3.760372264562812	5.657061820674325
4	5	mice	20	4.466293212460196	5.9751987540066365
5	5	mice	20	3.6883740214640826	5.895066737173343
6	5	mice	20	3.6742048824820537	5.721697438369662
7	5	mice	20	3.8467596968612177	6.622821046968855
8	5	mice	20	3.058229099008545	5.9440476287864215
9	5	mice	20	2.54984351662555	6.065547335932291
10	5	mice	20	2.747479215946068	5.823393830846165
11	5	mice	20	3.232340036184059	5.824146813893636
